Keys,Português (Portugal)
tal_desc_000,"Aumenta dano causado, porém aumenta dano recebido."
tal_desc_001,"Aumenta o poder de congelamento, porém diminui resistência a dano flamejante."
tal_desc_002,"Fortalece ataques nos primeiros 2 turnos, porém reduz defesa nos turnos subsequentes."
tal_desc_003,"Aumenta a defesa do grupo por integrante, porém diminui dano causado por integrante."
tal_desc_004,"Aumenta eficácia de itens de cura, porém reduz mana máxima."
tal_desc_005,"Aumenta potência de magias, porém aumenta o custo de conjuração."
tal_desc_006,"Fortalece ataques em inimigos com a vida cheia, porém enfraquece ataques em inimigos com pouca vida."
tal_desc_007,"Inimigos envenenados sofrem mais de dano, porém os mesmos causam mais de dano."
tal_desc_008,"Dobra potência de efeitos curativos, porém são divididos igualmente entre todos os integrantes do grupo."
run_name_000,Emboscada Odiosa
run_name_001,Misericórdia de Jernika
run_name_002,Vingança Imediata
run_name_003,Espólios Sangrentos
run_name_004,Fúria Eminente
run_name_005,Loteria Mística
run_desc_000,Iniciar um combate atacando causa o dobro de dano.
run_desc_001,Concede o poder de sobreviver uma vez a um ataque mortal. Restaura ao descansar em um Santuário de Jernika
run_desc_002,Contra-ataca instantâneamente com sua arma mais forte o último inimigo que o atacou se o dano do inimigo for maior que o seu.
run_desc_003,Concede Estilhaços ao executar um acerto crítico.
run_desc_004,Passar seu turno concede aumento de dano no seu próximo turno.
run_desc_005,Chance de magias custarem apenas metade do seu custo de mana.
amm_name_000,Flecha de Madeira
amm_name_001,Flecha de Pluma
amm_name_002,Flecha
amm_name_003,Flecha Mágica
amm_name_004,Flecha Flamejante
amm_name_005,Flecha Explosiva
amm_name_006,Flecha Elétrica
amm_desc_000,Flecha feita de madeira.
amm_desc_001,Flecha enfeitada de plumas.
amm_desc_002,Flecha com a ponta forjada com ferro.
amm_desc_003,Flecha banhada em poder mágico.
amm_desc_004,Flecha banhada em óleo místico que nunca para de queimar.
amm_desc_005,Flecha com pólvora grudada em sua ponta.
amm_desc_006,Flecha banhada em poder elétrico.
prologue_000,"Nosso povo vivia com prosperidade. Não havia dificuldades, ou guerras."
prologue_001,"Até que um dia, ou eu deva dizer, uma noite, tudo mudou."
prologue_002,"O nosso cerúleo céu estrelado começou a se mover rapidamente, e então, ao que aparentava, a cair."
prologue_003,"Seres estranhos, chamados de Firrelins, saíram daquelas monstruosas crateras, e abrupdamente começaram a nos atacar"
prologue_004,"Logo, a maior, supostamente, estrela, caiu e formou a maior cratera, e uma criatura proporcionalmente gigantesca saiu dela."
prologue_005,"O apelidamos de Vehord, o Lorde Lupino."
prologue_006,Aquele lobo monstruoso aparentemente comandava as criaturas menores. E todo aquele ataque só piorava...
prologue_007,"Como nossa única escolha, nos escondemos no subterrâneo de nosso planeta."
prologue_008,"Logo ficou claro, o interior da Terra era, magicamente, indestrutível para os seres estelares, mas ainda capaz de ser invadida, por mais que arduamente..."
prologue_009,"Com o tempo, explorando aquele novo mundo, fomos mostrados para tudo que o mundo escondia"
prologue_010,"A magia, engenharia sofisticada, outras raças como nós, e até mesmo os deuses, por mais que a maioria longe do seu potencial máximo ou mortos."
prologue_011,"Unimos esforços com os outros seres, e com o tempo, estabelecemos nossas próprias sociedades e reinos."
prologue_012,"E agora, possuimos tropas especiais chamadas de Viajantes do Luar, que exploram todo o subterrâneo em busca de recursos e de se aperfeiçoarem"
prologue_013,"Para, quando estiverem juntos, atravessarem a barreira que separa o subterrâneo da superfície e enfrentar Vehord, e quaisquer outros Lordes Cerúleos..."
prologue_014,"Para um dia, podermos retornar para o vasto reino que nos foi tirado."
npc_000_dia_000,Mas essa história vocês já sabem...
